28173-R001,675,26
28173-R002,585,45
28173-R003,484,47
28173-R004,625,76
28173-R005,690,45
28173-R006,620,36
28173-R007,537,55
28173-R008,675,10
28173-R009,537,45
28173-R010,619,66
28173-R011,509,35
28173-R012,633,10
28173-R013,548,5
28173-R014,597,25
28173-R015,567,5
28173-R016,515,5
28173-R017,620,16
28173-R018,630,10
28173-R019,483,28
28173-R020,478,4
28173-R021,546,45
28173-R022,535,25
28173-R023,602,56
28173-R024,519,45
28173-R025,688,16
28173-R026,587,5
28173-R027,491,44
28173-R028,641,6
28173-R029,736,7
28173-R030,563,15
28173-R031,579,16
28173-R032,718,7
28173-R033,660,6
28173-R034,757,27
28173-R035,774,7
28173-R036,579,15
28173-R037,684,58
28173-R038,605,79
